task_id,episode,step,time,label,x0,dx0,u0,x1,dx1,u1,x2,dx2,u2,x3,dx3,u3,x4,dx4,u4,x5,dx5,u5
0,0,0,0.0,shared_world,0.5288528410126598,0.001507435416955083,0.0,-0.020293480308261714,-0.011699536174822615,0.0,0.20784608814297342,0.047101473743589986,0.0,-0.219562172380074,0.07748768365122916,0.0,-0.2764519749373138,-0.061119758240841385,0.0,-0.4934698597444423,0.47904372238703363,0.0
0,0,1,0.05,shared_world,0.5289868147834601,-0.001842318352276863,0.0,-0.02169339946378724,-0.012670108909182295,0.0,0.2064457703066214,0.04242131474433358,0.0,-0.21350034322702452,0.0705503012618866,0.0,-0.2854038346957987,-0.060322223016575915,0.0,-0.47439780727204006,0.4740171476292523,0.0
0,0,2,0.1,shared_world,0.5249667544188956,-0.004370042828496498,0.0,-0.02094793866148036,-0.013951262759909207,0.0,0.20918601490339844,0.037354335790342336,0.0,-0.20704284461302555,0.06253608243015761,0.0,-0.2903449792058064,-0.059080162546045804,0.0,-0.45507325849405406,0.4670648832072717,0.0
0,0,3,0.15000000000000002,shared_world,0.5309472125284849,-0.011162628768493804,0.0,-0.025537300181119636,-0.014620150797649067,0.0,0.21183436744098427,0.03774853630986032,0.0,-0.19923747070618758,0.055132487515750624,0.0,-0.2876906986891441,-0.06451492234017453,0.0,-0.43470407366672054,0.46481978575259564,0.0
0,0,4,0.2,shared_world,0.5237663384445298,-0.013039652421850421,0.0,-0.026670480764715867,-0.01580695792104558,0.0,0.2154579714779928,0.029488763750822017,0.0,-0.19947721756981404,0.04692362662348914,0.0,-0.2978846859621415,-0.0584077848529915,0.0,-0.4135289981887424,0.4541641029566363,0.0
0,0,5,0.25,shared_world,0.5147031543153315,-0.014238939520236138,0.0,-0.024995635210346433,-0.017274949638565483,0.0,0.22482770428181437,0.023356765497476575,0.0,-0.19937382913479346,0.038408472672566515,0.0,-0.2985793490005254,-0.0543286494353343,0.0,-0.3939442988466397,0.4432382995356955,0.0
0,0,6,0.30000000000000004,shared_world,0.5100472468535352,-0.019013919173786302,0.0,-0.02675196449199453,-0.01884091066585964,0.0,0.2245632432971065,0.018201388912063902,0.0,-0.1943400349746628,0.02954480946673964,0.0,-0.3025340826264229,-0.052572124366494416,0.0,-0.3662370565741895,0.43286332562596486,0.0
0,0,7,0.35000000000000003,shared_world,0.5096690771939246,-0.023273071328558027,0.0,-0.03124243139650748,-0.019432380251874104,0.0,0.22904918510890593,0.013163919524726116,0.0,-0.19223107997832165,0.021684849651738964,0.0,-0.30921812447061825,-0.05099720133237974,0.0,-0.3483237890509962,0.42714976085558154,0.0
0,0,8,0.4,shared_world,0.5015258579710467,-0.02358405561253598,0.0,-0.02589788772775783,-0.021222158773771573,0.0,0.23217395425354048,0.00893650092576834,0.0,-0.1866628754254937,0.014923517493186492,0.0,-0.3090466533471672,-0.04921364855015421,0.0,-0.3317972609771366,0.4190381136024709,0.0
0,0,9,0.45,shared_world,0.5022125651232575,-0.02939918479673899,0.0,-0.026557203731936756,-0.022988440918084437,0.0,0.22982770625631738,0.00912102127432244,0.0,-0.1813691910994013,0.008035785311526808,0.0,-0.30345173918419793,-0.05248394860125833,0.0,-0.304155486834366,0.41137460212284394,0.0
0,0,10,0.5,shared_world,0.5030466476838628,-0.03433512414006557,0.0,-0.027523862088914604,-0.024628920721782306,0.0,0.22215606974799879,0.008914900885909797,0.0,-0.1791960147832648,0.003496308764727292,0.0,-0.3019202121804609,-0.05370471630268089,0.0,-0.27813314544956713,0.40358849693906945,0.0
