step,agent,variable,trend,mean,symbol
18,agent_A,x0,-0.0247562640331076,0.5129603881862176,agent_A:x0:down:high
18,agent_A,x1,-0.016035701182207023,-0.026765906257424484,agent_A:x1:down:low
18,agent_B,x2,0.009282488464787825,0.2199285706035309,agent_B:x2:up:high
18,agent_B,x3,0.0505666430075665,-0.1875874309971831,agent_B:x3:up:low
18,agent_C,x4,-0.04526134064919812,-0.3012617129641428,agent_C:x4:down:low
18,agent_C,x5,0.3344092202890174,-0.3176186607935128,agent_C:x5:up:low
36,agent_A,x0,-0.0652637976038255,0.4673282240589166,agent_A:x0:down:high
36,agent_A,x1,-0.05254769846703216,-0.0712317643216736,agent_A:x1:down:low
36,agent_B,x2,-0.023451373150681992,0.20816416624536907,agent_B:x2:down:high
36,agent_B,x3,-0.06529315415789383,-0.19787878740438516,agent_B:x3:down:low
36,agent_C,x4,-0.013073504365094801,-0.3322606744662189,agent_C:x4:down:low
36,agent_C,x5,0.26846941016507725,0.004703941069925343,agent_C:x5:up:high
54,agent_A,x0,-0.07798070835730525,0.3875269255574231,agent_A:x0:down:high
54,agent_A,x1,-0.05831952338976788,-0.11644344877376905,agent_A:x1:down:low
54,agent_B,x2,-0.053592767914250605,0.17425430189795657,agent_B:x2:down:high
54,agent_B,x3,-0.08267677963083139,-0.2854899228826432,agent_B:x3:down:low
54,agent_C,x4,0.04079541225490663,-0.3193113712830446,agent_C:x4:up:low
54,agent_C,x5,0.1501321932715964,0.22230974569265408,agent_C:x5:up:high
72,agent_A,x0,0.806695489968517,0.7410051267376743,agent_A:x0:up:high
72,agent_A,x1,-0.04595537621748155,-0.18518556599449,agent_A:x1:down:low
72,agent_B,x2,-0.01346556121107309,0.1265034885598688,agent_B:x2:down:high
72,agent_B,x3,-0.06828816595218007,-0.3672923076620679,agent_B:x3:down:low
72,agent_C,x4,-0.012004026514446042,-0.2859206701859901,agent_C:x4:down:low
72,agent_C,x5,0.2027619698788588,0.367427237896383,agent_C:x5:up:high
90,agent_A,x0,0.7160716215305178,1.57406211299302,agent_A:x0:up:high
90,agent_A,x1,-0.08714552146962493,-0.23280493362583238,agent_A:x1:down:low
90,agent_B,x2,0.06354541809069672,0.17925819295748274,agent_B:x2:up:high
90,agent_B,x3,-0.12295399821596664,-0.45496612923681035,agent_B:x3:down:low
90,agent_C,x4,-0.17146318907703317,-0.41582317539858027,agent_C:x4:down:low
90,agent_C,x5,0.27244469809853344,0.6490990747260675,agent_C:x5:up:high
108,agent_A,x0,0.5760128574562127,2.270066532553527,agent_A:x0:up:high
108,agent_A,x1,-0.02050593854776972,-0.30512624299841273,agent_A:x1:down:low
108,agent_B,x2,0.006552797280747341,0.20998542216076452,agent_B:x2:up:high
108,agent_B,x3,-0.20081626157630506,-0.6287780173827882,agent_B:x3:down:low
108,agent_C,x4,-0.14186747094821095,-0.5894022134682342,agent_C:x4:down:low
108,agent_C,x5,0.1909418319046554,0.895200563823016,agent_C:x5:up:high
126,agent_A,x0,-0.40638725306231427,2.416339594507703,agent_A:x0:down:high
126,agent_A,x1,-0.05288281116655552,-0.3475716507027526,agent_A:x1:down:low
126,agent_B,x2,-0.0006018255132998751,0.2102806360699093,agent_B:x2:down:high
126,agent_B,x3,-0.1591535426002163,-0.8298590253435356,agent_B:x3:down:low
126,agent_C,x4,-0.0804239558853721,-0.6929871598170733,agent_C:x4:down:low
126,agent_C,x5,0.12297693032129231,1.050362365059302,agent_C:x5:up:high
144,agent_A,x0,-0.41427187260943654,1.9216749350528037,agent_A:x0:down:high
144,agent_A,x1,-0.06558395011930573,-0.40885459677125197,agent_A:x1:down:low
144,agent_B,x2,-0.05341823519290745,0.18218791222821562,agent_B:x2:down:high
144,agent_B,x3,-0.17938770101188772,-1.0113713446169497,agent_B:x3:down:low
144,agent_C,x4,0.016122878273062802,-0.733859739797905,agent_C:x4:up:low
144,agent_C,x5,0.06939616477009047,1.1660105063010313,agent_C:x5:up:high
162,agent_A,x0,-0.36249953640426247,1.5192546925276686,agent_A:x0:down:high
162,agent_A,x1,-0.05210927942893767,-0.4698730310963892,agent_A:x1:down:low
162,agent_B,x2,-0.04755769784440406,0.1289897307332852,agent_B:x2:down:high
162,agent_B,x3,-0.0964915628004237,-1.1558054845923644,agent_B:x3:down:low
162,agent_C,x4,0.04276690387000248,-0.7088625077038555,agent_C:x4:up:low
162,agent_C,x5,0.005980221860270474,1.202038838233023,agent_C:x5:up:high
180,agent_A,x0,-0.3000362422191012,1.174051586064732,agent_A:x0:down:high
180,agent_A,x1,-0.04449180773997691,-0.510813634756558,agent_A:x1:down:low
180,agent_B,x2,-0.03542504467589633,0.08581976360841505,agent_B:x2:down:high
180,agent_B,x3,-0.06636272164329426,-1.2359954203125085,agent_B:x3:down:low
180,agent_C,x4,0.07344840262290586,-0.6472834569056978,agent_C:x4:up:low
180,agent_C,x5,-0.019674509094258275,1.2071225637270504,agent_C:x5:down:high
198,agent_A,x0,-0.28175307573332353,0.8770959390995909,agent_A:x0:down:high
198,agent_A,x1,-0.009199491221201894,-0.5454525618206346,agent_A:x1:down:low
198,agent_B,x2,-0.06269955242192703,0.02411681018827573,agent_B:x2:down:high
198,agent_B,x3,0.01313527483447774,-1.2666576587958716,agent_B:x3:up:low
198,agent_C,x4,0.09085453230311846,-0.5661890413280983,agent_C:x4:up:low
198,agent_C,x5,-0.09688623847199107,1.1411717915016337,agent_C:x5:down:high
216,agent_A,x0,-0.2506391409231307,0.594166048486269,agent_A:x0:down:high
